source_file,source_url,target_url,anchor,score,cluster
content\blog\chatbot-whatsapp-pme-2026.mdx,https://agentic-whatsup.com/fr/blog/chatbot-whatsapp-pme-2026,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",89.84,4
content\blog\whatsapp-ai-agent-vs-assistant.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-rdv,"WhatsApp AI assistant pour prise de RDV : agenda, rappels et qualification",89.57,4
content\blog\whatsapp-ai-assistant-rdv.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-rdv,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,WhatsApp AI agent vs WhatsApp AI assistant : difference reelle pour votre business,89.57,4
content\blog\chatbot-whatsapp-rdv-leads.mdx,https://agentic-whatsup.com/fr/blog/chatbot-whatsapp-rdv-leads,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",89.42,4
content\blog\chatbot-whatsapp-rdv-leads.mdx,https://agentic-whatsup.com/fr/blog/chatbot-whatsapp-rdv-leads,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-qualification-leads,"WhatsApp AI agent pour qualification de leads : methode BANT, CRM et handover",89.33,4
content\blog\chatbot-whatsapp-pme-2026.mdx,https://agentic-whatsup.com/fr/blog/chatbot-whatsapp-pme-2026,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,WhatsApp AI agent vs WhatsApp AI assistant : difference reelle pour votre business,89.3,4
content\blog\whatsapp-ai-agent-vs-assistant.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-service-client,WhatsApp AI assistant pour service client : resoudre plus vite sans degrader l experience,86.49,4
content\blog\whatsapp-ai-assistant-service-client.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-service-client,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,WhatsApp AI agent vs WhatsApp AI assistant : difference reelle pour votre business,86.49,4
content\blog\whatsapp-ai-assistant-multilingue.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-multilingue,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,WhatsApp AI agent vs WhatsApp AI assistant : difference reelle pour votre business,85.72,4
content\blog\whatsapp-ai-agent-architecture.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-rdv,"WhatsApp AI assistant pour prise de RDV : agenda, rappels et qualification",82.63,4
content\blog\whatsapp-ai-assistant-rdv.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-rdv,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",82.63,4
content\blog\whatsapp-ai-agent-qualification-leads.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-qualification-leads,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-rdv,"WhatsApp AI assistant pour prise de RDV : agenda, rappels et qualification",82.36,4
content\blog\whatsapp-ai-agent-architecture.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-service-client,WhatsApp AI assistant pour service client : resoudre plus vite sans degrader l experience,79.88,4
content\blog\whatsapp-ai-assistant-multilingue.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-multilingue,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",79.43,4
content\blog\whatsapp-business-api-setup-checklist.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-business-api-setup-checklist,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",79.38,4
content\blog\whatsapp-ai-agent-qualification-leads.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-qualification-leads,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-service-client,WhatsApp AI assistant pour service client : resoudre plus vite sans degrader l experience,78.99,4
content\blog\whatsapp-ai-assistant-service-client.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-ai-assistant-service-client,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-qualification-leads,"WhatsApp AI agent pour qualification de leads : methode BANT, CRM et handover",78.99,4
content\blog\whatsapp-business-api-setup-checklist.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-business-api-setup-checklist,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-vs-assistant,WhatsApp AI agent vs WhatsApp AI assistant : difference reelle pour votre business,77.76,4
content\blog\whatsapp-business-solution-provider-vs-cloud-api.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-business-solution-provider-vs-cloud-api,https://agentic-whatsup.com/fr/blog/whatsapp-business-api-setup-checklist,Checklist WhatsApp Business API : 27 points a valider avant le lancement,74.13,4
content\blog\whatsapp-business-solution-provider-choisir.mdx,https://agentic-whatsup.com/fr/blog/whatsapp-business-solution-provider-choisir,https://agentic-whatsup.com/fr/blog/whatsapp-business-api-setup-checklist,Checklist WhatsApp Business API : 27 points a valider avant le lancement,74.04,4
content\blog\automation-whatsapp-lead-nurturing.mdx,https://agentic-whatsup.com/fr/blog/automation-whatsapp-lead-nurturing,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",72.9,4
content\blog\automation-whatsapp-lead-nurturing.mdx,https://agentic-whatsup.com/fr/blog/automation-whatsapp-lead-nurturing,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-qualification-leads,"WhatsApp AI agent pour qualification de leads : methode BANT, CRM et handover",72.79,4
content\blog\campagnes-whatsapp-automation-rgpd.mdx,https://agentic-whatsup.com/fr/blog/campagnes-whatsapp-automation-rgpd,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-architecture,"WhatsApp AI agent : architecture 2026 d un agent fiable, mesurable et conforme",72.14,4
content\blog\campagnes-whatsapp-automation-rgpd.mdx,https://agentic-whatsup.com/fr/blog/campagnes-whatsapp-automation-rgpd,https://agentic-whatsup.com/fr/blog/whatsapp-ai-agent-qualification-leads,"WhatsApp AI agent pour qualification de leads : methode BANT, CRM et handover",71.83,4
